Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,12/01/09 07:45 AM,6.95,13085.0
489434,79323P,PINK CHERRY LIGHTS,12,12/01/09 07:45 AM,6.75,13085.0
489434,79323W, WHITE CHERRY LIGHTS,12,12/01/09 07:45 AM,6.75,13085.0
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/01/09 07:45 AM,2.1,13085.0
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/01/09 07:45 AM,1.25,13085.0
489434,22064,PINK DOUGHNUT TRINKET POT ,24,12/01/09 07:45 AM,1.65,13085.0
489434,21871,SAVE THE PLANET MUG,24,12/01/09 07:45 AM,1.25,13085.0
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,12/01/09 07:45 AM,5.95,13085.0
489435,22350,CAT BOWL ,12,12/01/09 07:46 AM,2.55,13085.0
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,12/01/09 07:46 AM,3.75,13085.0
489435,22195,HEART MEASURING SPOONS LARGE,24,12/01/09 07:46 AM,1.65,13085.0
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,12/01/09 07:46 AM,2.55,13085.0
489440,22350,CAT BOWL ,8,12/01/09 09:43 AM,2.55,18087.0
489440,22349,"DOG BOWL , CHASING BALL DESIGN",8,12/01/09 09:43 AM,3.75,18087.0
489441,22321,BIRD DECORATION RED SPOT,12,12/01/09 09:44 AM,0.72,18087.0
489441,22138,BAKING SET 9 PIECE RETROSPOT ,6,12/01/09 09:44 AM,4.25,18087.0
489441,84029E,RED WOOLLY HOTTIE WHITE HEART.,36,12/01/09 09:44 AM,2.95,18087.0
489441,22111,SCOTTIE DOG HOT WATER BOTTLE,48,12/01/09 09:44 AM,4.25,18087.0
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,12/01/09 09:50 AM,2.1,14110.0
489443,21035,SET/2 RED SPOTTY TEA TOWELS ,12,12/01/09 09:50 AM,2.95,14110.0
489443,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/01/09 09:50 AM,2.1,14110.0
489443,82001S,VINYL RECORD FRAME SILVER,24,12/01/09 09:50 AM,3.39,14110.0
489443,82580,BATHROOM METAL SIGN,12,12/01/09 09:50 AM,0.55,14110.0
489443,85150,LADIES & GENTLEMEN METAL SIGN,12,12/01/09 09:50 AM,2.55,14110.0
489443,21041,RED SPOTTY OVEN GLOVE DOUBLE,6,12/01/09 09:50 AM,2.95,14110.0
489444,POST,POSTAGE,1,12/01/09 09:55 AM,141.0,12636.0
489447,POST,POSTAGE,1,12/01/09 10:10 AM,130.0,12362.0
489448,20827,GOLD APERITIF GLASS,48,12/01/09 10:18 AM,2.12,15413.0
489448,20825,GOLD WINE GLASS,48,12/01/09 10:18 AM,3.39,15413.0
489448,20823,GOLD WINE GOBLET,48,12/01/09 10:18 AM,4.25,15413.0
489448,20826,SILVER APERITIF GLASS,48,12/01/09 10:18 AM,2.12,15413.0
489450,22087,PAPER BUNTING WHITE LACE,12,12/01/09 10:36 AM,2.95,16321.0
489450,85206A,CREAM FELT EASTER EGG BASKET,6,12/01/09 10:36 AM,1.65,16321.0
489450,21895,POTTING SHED SOW 'N' GROW SET,4,12/01/09 10:36 AM,4.25,16321.0
489450,21896,POTTING SHED TWINE,6,12/01/09 10:36 AM,2.1,16321.0
489450,22083,PAPER CHAIN KIT RETRO SPOT,12,12/01/09 10:36 AM,2.95,16321.0
489450,21871,SAVE THE PLANET MUG,12,12/01/09 10:36 AM,1.25,16321.0
489450,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,12/01/09 10:36 AM,1.25,16321.0
489450,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,12/01/09 10:36 AM,0.85,16321.0
489450,22090,PAPER BUNTING RETRO SPOTS,12,12/01/09 10:36 AM,2.95,16321.0
489505,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,12/01/09 11:17 AM,3.75,15712.0
489505,85099B,JUMBO BAG RED WHITE SPOTTY ,10,12/01/09 11:17 AM,1.95,15712.0
489505,48185,DOOR MAT FAIRY CAKE,10,12/01/09 11:17 AM,5.95,15712.0
489505,47566B,TEA TIME PARTY BUNTING,5,12/01/09 11:17 AM,4.65,15712.0
489505,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,12/01/09 11:17 AM,1.95,15712.0
489505,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,6,12/01/09 11:17 AM,4.95,15712.0
489505,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/01/09 11:17 AM,2.95,15712.0
489505,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,4,12/01/09 11:17 AM,8.5,15712.0
489505,22138,BAKING SET 9 PIECE RETROSPOT ,3,12/01/09 11:17 AM,4.95,15712.0
489505,21479,WHITE SKULL HOT WATER BOTTLE ,4,12/01/09 11:17 AM,3.75,15712.0
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,12/01/09 11:46 AM,1.45,12931.0
489525,85226C,BLUE PULL BACK RACING CAR,1,12/01/09 11:49 AM,0.55,
489525,85227,SET/6 3D KIT CARDS FOR KIDS,1,12/01/09 11:49 AM,0.85,
489540,21732,RED HANGING METAL STAR TLIGHT HLDR,24,12/01/09 12:18 PM,3.39,12913.0
489540,21754,HOME BUILDING BLOCK WORD,24,12/01/09 12:18 PM,5.45,12913.0
489540,22083,PAPER CHAIN KIT RETRO SPOT,58,12/01/09 12:18 PM,2.55,12913.0
489540,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,58,12/01/09 12:18 PM,2.55,12913.0
489540,84946,ANTIQUE SILVER TEA GLASS ETCHED,24,12/01/09 12:18 PM,1.25,12913.0
489542,37410,BLACK AND WHITE PAISLEY FLOWER MUG,216,12/01/09 12:19 PM,0.85,15061.0
489542,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,48,12/01/09 12:19 PM,4.25,15061.0
489558,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,12/01/09 12:54 PM,1.06,15793.0
489558,21756,BATH BUILDING BLOCK WORD,6,12/01/09 12:54 PM,5.95,15793.0
489558,21754,HOME BUILDING BLOCK WORD,12,12/01/09 12:54 PM,5.95,15793.0
489558,84879,ASSORTED COLOUR BIRD ORNAMENT,64,12/01/09 12:54 PM,1.69,15793.0
489559,22111,SCOTTIE DOG HOT WATER BOTTLE,2,12/01/09 12:55 PM,4.95,17056.0
489559,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,12/01/09 12:55 PM,3.95,17056.0
489559,22349,"DOG BOWL , CHASING BALL DESIGN",1,12/01/09 12:55 PM,3.75,17056.0
489559,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,12/01/09 12:55 PM,2.95,17056.0
489559,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,12/01/09 12:55 PM,1.25,17056.0
489559,21098,CHRISTMAS TOILET ROLL,6,12/01/09 12:55 PM,1.25,17056.0
489559,22415,WHITE TISSUE REAM,2,12/01/09 12:55 PM,7.95,17056.0
489559,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,12/01/09 12:55 PM,6.95,17056.0
489566,20901,VINTAGE KEEPSAKE BOX PINK FLOWER,6,12/01/09 01:16 PM,6.35,17742.0
489566,82483,WOOD 2 DRAWER CABINET WHITE FINISH,3,12/01/09 01:16 PM,5.95,17742.0
489566,22172,METAL SHELF WITH RAIL ,2,12/01/09 01:16 PM,8.5,17742.0
489566,22282,12 EGG HOUSE PAINTED WOOD,4,12/01/09 01:16 PM,12.75,17742.0
489566,85067,CREAM SWEETHEART WALL CABINET,2,12/01/09 01:16 PM,18.95,17742.0
489566,21299,EDWARDIAN TOILET ROLL UNIT ,2,12/01/09 01:16 PM,12.75,17742.0
489566,21156,RED SPOTTY CHILDS APRON,8,12/01/09 01:16 PM,1.95,17742.0
489566,47591D,PINK FAIRY CAKE CHILD'S APRON,8,12/01/09 01:16 PM,1.95,17742.0
489580,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/01/09 01:43 PM,1.25,12921.0
489580,21231,SWEETHEART CERAMIC TRINKET BOX,24,12/01/09 01:43 PM,1.25,12921.0
489580,21975,PACK OF 60 DINOSAUR CAKE CASES,24,12/01/09 01:43 PM,0.55,12921.0
489580,21213,PACK OF 72 SKULL CAKE CASES,24,12/01/09 01:43 PM,0.55,12921.0
489580,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/01/09 01:43 PM,0.55,12921.0
489580,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,12/01/09 01:43 PM,0.55,12921.0
489580,84991,60 TEATIME FAIRY CAKE CASES,24,12/01/09 01:43 PM,0.55,12921.0
489580,72756,FAIRY CAKE CANDLES,108,12/01/09 01:43 PM,1.25,12921.0
489582,72799B,PURPLE PILLAR CANDLE BLACK FLOCK,10,12/01/09 01:47 PM,2.95,14543.0
489582,35400,WOODEN BOX ADVENT CALENDAR ,2,12/01/09 01:47 PM,8.95,14543.0
489582,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,72,12/01/09 01:47 PM,0.95,14543.0
489582,21768,WALL MOUNTED VINTAGE ORGANISER,1,12/01/09 01:47 PM,14.95,14543.0
489582,21477,STRING OF 20 ROSE LIGHTS,2,12/01/09 01:47 PM,12.75,14543.0
489582,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,12/01/09 01:47 PM,7.95,14543.0
489582,84984D,ORIENTAL RED C/COVER ,12,12/01/09 01:47 PM,4.25,14543.0
489582,84773,RED ROSE AND LACE C/COVER,18,12/01/09 01:47 PM,2.95,14543.0
489582,84601A,NEW BAROQUE IVORY CUSHION COVER ,6,12/01/09 01:47 PM,2.95,14543.0
489581,85174,S/4 CACTI CANDLES,1,12/01/09 01:47 PM,4.95,15945.0
489581,71028B,SILVER BLUE EGG T-LIGHT HOLDER,1,12/01/09 01:47 PM,1.65,15945.0
489581,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,12/01/09 01:47 PM,0.65,15945.0
489581,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,12/01/09 01:47 PM,3.95,15945.0
489581,72267,PREMIUM CHURCH CANDLE,1,12/01/09 01:47 PM,2.1,15945.0
489581,72140F,HAPPY ANNIVERSARY CANDLE LETTERS,1,12/01/09 01:47 PM,0.42,15945.0
