num_rooms,floor,area_sqft,price
3,5,785.8,238500.0
3,20,753.5,423000.0
3,2,785.8,207000.0
3,5,785.8,252000.0
3,8,731.9,198000.0
3,11,731.9,252000.0
3,5,721.2,216000.0
3,5,882.6,270900.0
3,2,721.2,229500.0
3,2,721.2,209700.0
3,8,721.2,225000.0
3,5,721.2,220500.0
3,2,721.2,229500.0
3,5,721.2,259200.0
3,2,721.2,211500.0
3,8,721.2,241200.0
3,5,721.2,216000.0
3,5,947.2,288000.0
3,5,721.2,225000.0
3,2,721.2,225000.0
3,2,721.2,238500.0
3,11,721.2,270000.0
3,5,785.8,288000.0
3,11,721.2,229500.0
3,5,947.2,319500.0
3,5,721.2,243000.0
3,5,721.2,254700.0
3,2,721.2,220500.0
3,2,785.8,229500.0
3,8,807.3,277200.0
3,5,882.6,272250.0
3,2,731.9,225000.0
3,5,882.6,325800.0
3,5,882.6,306000.0
3,8,731.9,250200.0
3,8,721.2,252000.0
3,8,721.2,221490.0
3,8,731.9,220500.0
3,8,721.2,286200.0
3,2,721.2,200700.0
3,5,721.2,234000.0
3,2,882.6,274500.0
3,20,721.2,412999.2
3,11,721.2,380700.0
4,5,1054.9,333000.0
4,17,1044.1,643500.0
4,14,1011.8,594000.0
4,2,979.5,324000.0
4,11,990.3,344700.0
4,8,1001.0,344700.0
4,11,979.5,310500.0
4,2,1001.0,295200.0
4,5,990.3,324000.0
4,5,1065.6,324000.0
4,5,990.3,310500.0
4,2,990.3,333000.0
4,11,1065.6,406800.0
4,8,1054.9,450000.0
4,2,1054.9,391500.0
4,5,979.5,304200.0
4,5,990.3,351000.0
4,8,979.5,344700.0
4,11,979.5,346500.0
4,2,979.5,313200.0
4,2,979.5,315000.0
4,5,968.8,531720.0
4,2,979.5,340200.0
4,11,990.3,382500.0
4,11,1076.4,356400.0
4,8,968.8,459000.0
4,17,1022.6,523800.0
4,14,968.8,575100.0
4,17,968.8,651499.2000000001
5,2,1280.9,436500.0
5,2,1280.9,418500.0
5,11,1280.9,481500.0
5,17,1291.7,522000.0
5,8,1259.4,405000.0
5,2,1431.6,630000.0
5,11,1302.4,477000.0
5,11,1270.1,580500.0
5,17,1259.4,567000.0
5,29,1184.0,710100.0
5,8,1291.7,756000.0
5,11,1259.4,737820.0
3,11,731.9,256500.0
3,8,721.2,263700.0
3,5,721.2,234000.0
3,5,721.2,265500.0
3,8,882.6,279000.0
3,8,721.2,238500.0
3,14,882.6,298800.0
3,8,635.1,211500.0
3,11,645.8,225000.0
3,8,721.2,247500.0
3,11,635.1,241200.0
3,2,721.2,235800.0
3,8,635.1,213300.0
3,8,731.9,236700.0
3,2,635.1,203400.0
3,11,721.2,216900.0
3,5,731.9,220500.0
3,2,721.2,214200.0
3,5,882.6,277999.2
3,11,731.9,261000.0
3,11,721.2,256500.0
3,11,882.6,295200.0
3,2,721.2,225000.0
3,8,721.2,220500.0
3,5,753.5,247500.0
3,8,721.2,259200.0
3,8,731.9,252000.0
3,2,731.9,234000.0
3,5,731.9,250200.0
3,5,731.9,252000.0
3,8,731.9,270000.0
3,8,731.9,270000.0
3,14,699.7,225450.0
3,11,635.1,218700.0
3,11,699.7,244800.0
3,5,785.8,261000.0
3,8,785.8,252000.0
3,11,721.2,270000.0
3,14,721.2,252000.0
3,8,721.2,259200.0
3,14,699.7,262800.0
3,8,645.8,241200.0
4,14,990.3,355500.0
4,5,990.3,301500.0
4,11,979.5,331200.0
4,8,990.3,378000.0
4,11,979.5,319500.0
4,17,914.9,567000.0
4,8,990.3,358200.0
4,5,990.3,288000.0
4,8,990.3,351000.0
4,5,990.3,297000.0
4,11,990.3,292500.0
4,14,990.3,337500.0
4,14,936.5,646200.0
4,11,936.5,596700.0
4,14,936.5,603000.0
4,2,936.5,589500.0
4,5,1001.0,349200.0
4,11,979.5,360000.0
4,11,979.5,347850.0
4,5,1119.4,373500.0
4,2,958.0,342000.0
4,11,1054.9,360000.0
4,2,1119.4,364500.0
4,2,979.5,328500.0
4,11,1001.0,349200.0
4,11,1001.0,355500.0
4,5,1151.7,481500.0
4,8,1130.2,480420.0
4,14,1130.2,472500.0
4,2,968.8,304200.0
4,2,882.6,297000.0
4,8,882.6,283500.0
4,8,1130.2,437400.0
4,8,904.2,278100.0
4,11,979.5,315000.0
4,8,968.8,450000.0
4,8,1162.5,432000.0
4,14,1141.0,450000.0
5,20,1280.9,540000.0
5,26,1270.1,594000.0
5,17,1270.1,569700.0
5,5,1324.0,423000.0
5,5,1420.8,553500.0
5,11,1324.0,441000.0
5,2,1259.4,342000.0
5,8,1463.9,531000.0
5,11,1324.0,418500.0
5,14,1324.0,439200.0
5,5,1313.2,403200.0
5,11,1345.5,423000.0
5,8,1302.4,450000.0
5,14,1237.8,585000.0
5,23,1270.1,574200.0
5,14,1431.6,688500.0
5,20,1237.8,461520.0
5,5,1431.6,472500.0
5,5,1356.3,549000.0
5,8,1377.8,549000.0
5,23,1291.7,553500.0
3,5,688.9,348300.0
3,2,688.9,295200.0
3,2,721.2,335700.0
4,2,904.2,352800.0
4,5,1001.0,378000.0
4,5,904.2,432000.0
4,5,904.2,459000.0
4,8,893.4,424800.0
4,8,1119.4,432000.0
4,8,904.2,396000.0
4,8,904.2,459000.0
4,2,1119.4,531000.0
4,5,914.9,400500.0
4,2,1205.6,499500.0
4,5,1173.3,457200.0
4,11,1216.3,540000.0
4,14,1162.5,603000.0
4,8,1097.9,499500.0
4,5,1108.7,436500.0
4,29,1022.6,799999.2000000001
5,5,1302.4,621000.0
5,2,1302.4,585000.0
5,2,1302.4,604800.0
5,14,1302.4,636300.0
5,14,1302.4,576000.0
5,11,1410.1,702000.0
5,2,1313.2,616500.0
5,11,1496.2,720000.0
5,5,1431.6,628200.0
5,8,1302.4,621000.0
5,14,1291.7,774000.0
5,5,1324.0,621000.0
5,11,1345.5,630000.0
5,11,1345.5,621000.0
3,2,688.9,225000.0
3,2,688.9,211500.0
3,5,721.2,225000.0
3,2,721.2,216000.0
3,5,721.2,216000.0
3,8,721.2,259200.0
3,5,688.9,243000.0
3,2,731.9,234000.0
3,11,688.9,211500.0
3,2,645.8,220500.0
3,11,645.8,234000.0
3,5,688.9,234000.0
3,8,645.8,211500.0
3,5,785.8,253800.0
3,8,785.8,240300.0
3,11,785.8,235800.0
